"index","original_content","translated_content"
"34","Brrring...","Др-р-р-ринь!..."
"37","   Brrrrring...","   Др-р-р-ринь!..."
"50","*beep*","*біп*"
"60","Hello? ","Алло? "
"62","This is Maya.","Це Мая."
"67","Hey ","Гей "
"69","Maya,","Мая,"
"71"," it's me."," Це я."
"75","Mia! ","Мія! "
"79","What's up? ","Як справи? "
"81","You haven't","Ти так довго"
"83","called in a while.","не дзвонила."
"87","Sorry, ","Вибач, "
"89","I've been so busy.","в мене були справи."
"92","How've you been?","А ти як почуваєшся?"
"96","Well,","Я?"
"98"," LONELY."," САМОТНЬО."
"101","And it's all YOUR fault.","І це ТИ винна."
"104","Nah,","Хах,"
"106"," I'm just teasing."," я просто кепкую."
"108","I've been great!","В мене все добре!"
"110"," I'm finally"," Нарешті звикаю"
"112","getting used to having my","жити"
"114","own place.","самостійно. "
"118","That's good to hear.","Радію, що в тебе все добре."
"120","Actually,","До речі,"
"122"," I'm calling because"," я дзвоню, бо"
"124","I have a favor to ask.","хочу дещо попросити."
"128","I know, ","Ага, "
"130","I know.","зрозуміло."
"132"," You want me"," Хочеш, щоб я"
"134","to hold evidence for you?","потримала у себе якийсь доказ?"
"138","Sharp as always!","В яблучко!"
"140","There's a lot of buzz about","Там багато метушні"
"142","the upcoming trial...","навколо однієї справи..."
"144","I just don't feel safe","Було б небезпечно"
"146","keeping the evidence here.","зберігати доказ тут."
"150","I gotcha.","Зрозуміла."
"153","So,","То,"
"155"," what is it this time?"," що в тебе там?"
"159","It's...","Це..."
"162"," a clock"," Годинник"
"164",".","."
"168","A clock?","Годинник?"
"173","Yeah, it's made to look like","Так, зроблений у формі"
"175","that statue,","статуетки"
"177"," ""The Thinker."""," «Мислителя»"
"179","And it tells you the time!","І він може казати час!"
"181","I thought you might like it.","Напевно, він тобі сподобається."
"184","You always liked toys.","Ти завжди полюбляла іграшки."
"188","Hey! ","Гей! "
"190","I'm not a little","Я вже не"
"192","girl anymore,","маленька,"
"194"," Sis!"," сестричко!"
"198","Now,","Ну,"
"200"," now."," звісно."
"202"," You know"," Ти ж знаєш"
"204","I'm only teasing.","я просто дражнюся."
"206","Ah,","До речі,"
"208"," I should probably tell"," я ще хотіла сказати"
"210","you,","тобі,"
"212"," the clock isn't talking"," годинник зараз"
"214","right now.","не працює."
"218","Huh? ","Га? "
"220","It's not working?","Не працює?"
"223","That's lame!","Це нечесно!"
"228","I had to take the","Вибач, мені довелося витягнути"
"230","clockwork out.","з нього"
"232"," Sorry.","  механізм."
"234","I put some papers","Замість нього я поклала"
"236","inside it instead.","туди деякі папери."
"240","Papers? ","Папери? "
"242","Is that","Вони і є"
"244","the evidence,","твоїм"
"246"," then?"," доказом?"
"249","Hmm,","Ну,"
"251"," well..."," так..."
"253"," there's a"," хтозна,"
"255","possibility that it might","може вони стануть"
"257","turn out that way,","доказом, "
"259"," yes."," так."
"263","Can you come by the office","Можеш прийти до офісу"
"265","tonight,","ввечері,"
"267"," say 9:00,"," скажімо о"
"269"," to pick","  21:00,"
"271","it up?","забрати їх?"
"274","I'll be in a pretrial","До цього часу я буду"
"276","meeting until then.","на досудовій нараді."
"280","Okay,","Добре,"
"282"," Sis,"," сестричко,"
"284"," but I expect"," але я б хотіла"
"286","dinner! ","повечеряти! "
"288","Something good!","Чимось смачненьким!"
"290","Like... ","Наприклад... "
"292","burgers! ","бургерами! "
"294","I could","Я б з"
"296","really go for a good burger.","задоволенням поїла смачних бургерів."
"300","Okay, ","Добре, "
"302","okay.","добре."
"305","We'll hit the usual joint.","Заскочимо в стару добру забігайлівку."
"309","Alright!","Гаразд!"
"311"," It's a deal!"," Домовилися!"
"313","Okay, ","О'кей, "
"315","Sis,","сестричко,"
